RegionID,SizeRank,RegionName,RegionType,StateName,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
102001,0,United States,country,,57.0,54.0,47.0,43.0,43.0,38.0,39.0,51.0,62.0,66.0,71.0,82.0,101.0,114.0,115.0,105.0,95.0,85.0,90.0,98.0,105.0,102.0,103.0,105.0,105.0,96.0,78.0,62.0,51.0,44.0,44.0,51.0,59.0,59.0,59.0,58.0,56.0,48.0,40.0,33.0,29.0,25.0,26.0,31.0,36.0,38.0,41.0,41.0,40.0,37.0,33.0,30.0,27.0,23.0,25.0,30.0,35.0,37.0,39.0,40.0,37.0,32.0,25.0,25.0,29.0,33.0,36.0,41.0
394913,1,"New York, NY",msa,NY,60.0,48.0,37.0,35.0,43.0,41.0,44.0,51.0,60.0,53.0,45.0,43.0,60.0,69.0,77.0,75.0,77.0,76.0,89.0,99.0,111.0,117.0,126.0,129.0,130.0,122.0,101.0,81.0,68.0,62.0,62.0,74.0,86.0,83.0,77.0,74.0,74.0,69.0,61.0,53.0,45.0,42.0,46.0,54.0,61.0,65.0,69.0,67.0,68.0,70.0,73.0,75.0,74.0,64.0,63.0,75.0,85.0,89.0,92.0,94.0,88.0,78.0,64.0,65.0,72.0,79.0,84.0,93.0
753899,2,"Los Angeles, CA",msa,CA,96.0,99.0,89.0,74.0,66.0,55.0,59.0,77.0,83.0,73.0,76.0,98.0,125.0,152.0,152.0,131.0,109.0,100.0,108.0,122.0,138.0,133.0,136.0,144.0,155.0,154.0,136.0,111.0,93.0,80.0,80.0,83.0,87.0,88.0,102.0,109.0,98.0,83.0,72.0,59.0,50.0,41.0,43.0,48.0,53.0,54.0,58.0,64.0,67.0,64.0,55.0,49.0,43.0,36.0,42.0,50.0,55.0,53.0,55.0,57.0,57.0,52.0,45.0,41.0,37.0,38.0,44.0,52.0
394463,3,"Chicago, IL",msa,IL,72.0,63.0,47.0,35.0,34.0,31.0,33.0,42.0,56.0,66.0,73.0,77.0,88.0,94.0,88.0,74.0,63.0,57.0,65.0,80.0,108.0,142.0,174.0,178.0,160.0,135.0,106.0,80.0,61.0,53.0,61.0,77.0,101.0,119.0,132.0,124.0,111.0,90.0,71.0,54.0,49.0,41.0,44.0,57.0,77.0,94.0,103.0,102.0,93.0,78.0,62.0,51.0,44.0,38.0,44.0,63.0,87.0,109.0,123.0,121.0,104.0,83.0,62.0,50.0,47.0,48.0,56.0,69.0
394514,4,"Dallas, TX",msa,TX,65.0,67.0,60.0,48.0,39.0,35.0,43.0,53.0,60.0,68.0,69.0,71.0,77.0,84.0,71.0,58.0,50.0,46.0,58.0,69.0,79.0,81.0,90.0,82.0,71.0,57.0,54.0,51.0,48.0,41.0,42.0,48.0,59.0,57.0,59.0,57.0,55.0,44.0,37.0,29.0,24.0,22.0,25.0,28.0,27.0,25.0,26.0,27.0,26.0,22.0,18.0,15.0,14.0,13.0,14.0,15.0,17.0,20.0,21.0,21.0,18.0,15.0,12.0,10.0,9.0,9.0,10.0,12.0
394692,5,"Houston, TX",msa,TX,23.0,20.0,17.0,15.0,14.0,11.0,13.0,16.0,19.0,22.0,25.0,28.0,28.0,29.0,28.0,30.0,30.0,30.0,34.0,40.0,45.0,42.0,44.0,40.0,39.0,34.0,33.0,29.0,25.0,18.0,16.0,18.0,23.0,23.0,22.0,21.0,23.0,23.0,21.0,18.0,15.0,12.0,12.0,14.0,16.0,16.0,17.0,18.0,17.0,16.0,13.0,12.0,11.0,10.0,10.0,12.0,13.0,13.0,13.0,13.0,12.0,10.0,8.0,7.0,7.0,8.0,9.0,11.0
395209,6,"Washington, DC",msa,VA,61.0,51.0,37.0,30.0,25.0,20.0,17.0,21.0,24.0,28.0,35.0,47.0,61.0,73.0,74.0,65.0,57.0,52.0,57.0,62.0,70.0,82.0,106.0,135.0,147.0,132.0,102.0,77.0,58.0,45.0,46.0,53.0,62.0,68.0,83.0,100.0,108.0,96.0,72.0,54.0,44.0,38.0,40.0,45.0,53.0,64.0,79.0,90.0,91.0,79.0,63.0,48.0,40.0,33.0,37.0,44.0,51.0,60.0,71.0,76.0,69.0,53.0,35.0,24.0,19.0,18.0,20.0,22.0
394974,7,"Philadelphia, PA",msa,PA,113.0,118.0,114.0,117.0,100.0,80.0,57.0,57.0,57.0,60.0,63.0,69.0,77.0,88.0,97.0,103.0,107.0,102.0,108.0,120.0,139.0,144.0,151.0,154.0,140.0,118.0,95.0,81.0,65.0,58.0,60.0,66.0,73.0,76.0,82.0,77.0,67.0,55.0,47.0,37.0,29.0,22.0,26.0,33.0,44.0,52.0,57.0,55.0,51.0,45.0,38.0,33.0,30.0,26.0,28.0,35.0,42.0,48.0,55.0,54.0,48.0,39.0,30.0,28.0,30.0,33.0,38.0,42.0
394856,8,"Miami, FL",msa,FL,20.0,18.0,17.0,18.0,18.0,16.0,17.0,31.0,50.0,67.0,79.0,97.0,115.0,131.0,131.0,131.0,132.0,127.0,125.0,117.0,103.0,71.0,58.0,48.0,42.0,33.0,28.0,27.0,26.0,24.0,25.0,28.0,30.0,31.0,31.0,28.0,24.0,21.0,18.0,16.0,15.0,14.0,15.0,17.0,19.0,18.0,16.0,15.0,15.0,14.0,13.0,12.0,11.0,11.0,12.0,13.0,15.0,16.0,15.0,13.0,12.0,10.0,10.0,10.0,10.0,11.0,13.0,15.0
394347,9,"Atlanta, GA",msa,GA,90.0,95.0,100.0,112.0,103.0,90.0,80.0,91.0,96.0,95.0,111.0,151.0,176.0,175.0,171.0,179.0,156.0,117.0,105.0,120.0,144.0,134.0,122.0,111.0,116.0,104.0,84.0,67.0,54.0,53.0,57.0,65.0,64.0,58.0,53.0,51.0,49.0,42.0,37.0,33.0,27.0,22.0,21.0,24.0,28.0,32.0,34.0,33.0,31.0,27.0,24.0,21.0,18.0,16.0,16.0,19.0,24.0,26.0,27.0,26.0,26.0,23.0,19.0,16.0,16.0,17.0,20.0,22.0
394404,10,"Boston, MA",msa,MA,24.0,27.0,30.0,33.0,32.0,25.0,23.0,31.0,45.0,59.0,67.0,72.0,81.0,87.0,78.0,71.0,72.0,73.0,72.0,69.0,64.0,61.0,75.0,97.0,104.0,96.0,78.0,62.0,48.0,38.0,36.0,37.0,46.0,56.0,66.0,68.0,66.0,59.0,46.0,36.0,30.0,24.0,20.0,21.0,28.0,38.0,47.0,50.0,47.0,37.0,30.0,28.0,28.0,22.0,21.0,23.0,30.0,37.0,44.0,45.0,39.0,30.0,24.0,19.0,16.0,14.0,15.0,17.0
