Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2025 Q4	National	18%	49,824	+2%
2025 Q4	Anaheim, CA	26%	1,260	+3%
2025 Q4	Atlanta, GA	20%	3,277	+7%
2025 Q4	Baltimore, MD	18%	1,344	-3%
2025 Q4	Charlotte, NC	19%	1,343	-6%
2025 Q4	Chicago, IL	15%	2,094	+10%
2025 Q4	Cincinnati, OH	18%	947	+14%
2025 Q4	Cleveland, OH	25%	1,353	-1%
2025 Q4	Columbus, OH	17%	912	+4%
2025 Q4	Denver, CO	14%	1,122	-4%
2025 Q4	Fort Lauderdale, FL	18%	1,141	-15%
2025 Q4	Jacksonville, FL	20%	923	-7%
2025 Q4	Las Vegas, NV	22%	1,346	-12%
2025 Q4	Los Angeles, CA	24%	3,058	+11%
2025 Q4	Miami, FL	32%	1,985	+0%
2025 Q4	Milwaukee, WI	19%	761	+24%
2025 Q4	Minneapolis, MN	11%	1,163	+5%
2025 Q4	Montgomery County, PA	10%	472	-3%
2025 Q4	Nashville, TN	17%	931	-9%
2025 Q4	New Brunswick, NJ	14%	1,043	+10%
2025 Q4	New York, NY	22%	2,696	+16%
2025 Q4	Newark, NJ	15%	724	+8%
2025 Q4	Oakland, CA	20%	998	+17%
2025 Q4	Orlando, FL	21%	1,521	-16%
2025 Q4	Philadelphia, PA	20%	1,006	-4%
2025 Q4	Phoenix, AZ	19%	2,721	-2%
2025 Q4	Portland, OR	13%	775	+27%
2025 Q4	Providence, RI	11%	263	+20%
2025 Q4	Riverside, CA	18%	1,722	+3%
2025 Q4	Sacramento, CA	20%	1,034	-3%
2025 Q4	San Diego, CA	25%	1,443	+11%
2025 Q4	San Francisco, CA	25%	689	+24%
2025 Q4	San Jose, CA	21%	592	+11%
2025 Q4	Seattle, WA	12%	845	+37%
2025 Q4	Tampa, FL	18%	1,924	-6%
2025 Q4	Virginia Beach, VA	14%	790	+17%
2025 Q4	Warren, MI	10%	739	-4%
2025 Q4	Washington, DC	12%	1,281	-1%
2025 Q4	West Palm Beach, FL	19%	1,176	+17%
2025 Q3	National	17%	52,668	+1%
2025 Q3	Anaheim, CA	26%	1,431	+6%
2025 Q3	Atlanta, GA	18%	3,481	+0%
2025 Q3	Baltimore, MD	16%	1,279	+6%
2025 Q3	Charlotte, NC	16%	1,357	-6%
2025 Q3	Chicago, IL	13%	2,400	+10%
2025 Q3	Cincinnati, OH	15%	930	-5%
2025 Q3	Cleveland, OH	22%	1,399	-2%
2025 Q3	Columbus, OH	15%	955	+1%
2025 Q3	Denver, CO	13%	1,156	-9%
2025 Q3	Fort Lauderdale, FL	17%	1,138	-13%
2025 Q3	Jacksonville, FL	17%	963	-7%
2025 Q3	Las Vegas, NV	21%	1,458	-20%
2025 Q3	Los Angeles, CA	23%	3,164	+9%
2025 Q3	Miami, FL	32%	2,062	-12%
2025 Q3	Milwaukee, WI	16%	783	+24%
2025 Q3	Minneapolis, MN	10%	1,234	+0%
2025 Q3	Montgomery County, PA	9%	535	+12%
2025 Q3	Nashville, TN	16%	1,032	-9%
2025 Q3	New Brunswick, NJ	13%	1,117	+12%
2025 Q3	New York, NY	21%	3,041	+23%
2025 Q3	Newark, NJ	13%	770	+27%
2025 Q3	Oakland, CA	19%	1,014	+15%
2025 Q3	Orlando, FL	19%	1,565	-24%
2025 Q3	Philadelphia, PA	18%	971	+5%
2025 Q3	Phoenix, AZ	18%	2,560	-6%
2025 Q3	Portland, OR	12%	860	+27%
2025 Q3	Providence, RI	9%	270	+6%
2025 Q3	Riverside, CA	18%	1,647	+0%
2025 Q3	Sacramento, CA	21%	1,262	+1%
2025 Q3	San Diego, CA	25%	1,572	+3%
2025 Q3	San Francisco, CA	26%	691	+31%
2025 Q3	San Jose, CA	20%	648	+11%
2025 Q3	Seattle, WA	11%	935	+44%
2025 Q3	Tampa, FL	18%	2,062	-4%
2025 Q3	Virginia Beach, VA	12%	792	+8%
2025 Q3	Warren, MI	9%	813	+6%
2025 Q3	Washington, DC	10%	1,254	-3%
2025 Q3	West Palm Beach, FL	18%	1,106	-3%
2025 Q2	National	17%	53,145	-6%
2025 Q2	Anaheim, CA	26%	1,437	+4%
2025 Q2	Atlanta, GA	16%	3,271	-16%
2025 Q2	Baltimore, MD	17%	1,424	-1%
2025 Q2	Charlotte, NC	17%	1,483	-8%
2025 Q2	Chicago, IL	12%	2,079	-1%
2025 Q2	Cincinnati, OH	15%	941	-5%
2025 Q2	Cleveland, OH	23%	1,316	+2%
2025 Q2	Columbus, OH	14%	871	-13%
2025 Q2	Denver, CO	12%	1,220	-14%
2025 Q2	Fort Lauderdale, FL	18%	1,212	-20%
