date,highest_category,FLUR,FLBP1FH,Investor Purchases_FL,Investor Market Share_FL,Investor Purchases YoY_FL,Investor Purchases_Total,Investor Market Share_Total,Investor Purchases YoY_Total,HPI_South_Atlantic_Not_Seasonally_Adjusted,HPI_South_Atlantic_Seasonally_Adjusted,HPI_USA_Not_Seasonally_Adjusted,HPI_USA_Seasonally_Adjusted,Inventory_FL,Inventory_Non_FL,Inventory_US,DaysToClose_FL,DaysToClose_Non_FL,DaysToClose_US,MarketTemp_FL,MarketTemp_Non_FL,MarketTemp_US,NewConSales_FL,NewConSales_Non_FL,NewConSales_US,ZHVI_Tier_FL,ZHVI_Tier_Non_FL,ZHVI_Tier_US,ZORDI_Condo_FL,ZORDI_Condo_Non_FL,ZORDI_Condo_US,ZORDI_MFR_FL,ZORDI_MFR_Non_FL,ZORDI_MFR_US,ZORDI_SFR_FL,ZORDI_SFR_Non_FL,ZORDI_SFR_US,ZORDI_All_FL,ZORDI_All_Non_FL,ZORDI_All_US
2020-06-01,,11.6,8764,,,,,,,294.08,288.85,289.47,283.54,2652.9224137931033,785.1560222477945,845.4736451373423,37.839285714285715,39.368556701030926,39.17567567567568,60.827586206896555,68.023282887078,67.78828828828829,381.5217391304348,473.8712121212121,466.4703832752613,238697.52024830598,205658.5856250668,206729.12093688126,66.625,106.37614678899082,101.288,98.95,102.8036809815951,102.58092485549133,118.5,200.0032786885246,194.05775075987842,101.70833333333333,134.29310344827587,132.6905737704918
2020-07-01,,11.6,9864,10876,15.833333333333334,-13.833333333333334,55548,10.840909090909092,-13.772727272727273,297.65,292.4,293.14,287.58,2443.189655172414,745.454065976218,800.28071640683,37.125,38.303264604811,38.15465465465466,63.3448275862069,70.19675925925925,69.97424412094065,380.4347826086956,500.3939393939394,490.780487804878,241181.07750572127,208556.38646356345,209613.49935766688,62.1875,113.90196078431373,106.88983050847457,99.2,113.99386503067484,113.13872832369943,119.91666666666667,207.05732484076432,200.8698224852071,102.625,143.03617021276597,141.07287449392712
2020-08-01,,8.6,10100,,,,,,,302.01,297.47,296.95,292.62,2278.806896551724,714.539585730725,765.056013363029,38.271428571428565,39.07422680412371,38.972972972972975,63.241379310344826,69.54069767441861,69.33520809898762,364.4782608695652,462.10227272727275,454.2787456445993,244021.54062424594,211412.7067360314,212469.3058229121,50.5,105.929203539823,99.05426356589147,102.05,120.7439024390244,119.66954022988506,115.41666666666667,191.33620689655172,186.43817204301075,97.95833333333333,141.85239085239084,139.76633663366337
2020-09-01,2.0,8.0,10633,,,,,,,304.81,301.61,300.51,297.31,2193.956896551724,699.575,747.7808676307008,38.839285714285715,39.371134020618555,39.304054054054056,61.172413793103445,66.19025522041764,66.02693602693603,355.4347826086956,465.9962121212121,457.13588850174216,247819.920747766,215076.07538978665,216137.04914998935,42.5,99.91228070175438,92.84615384615384,101.85,118.49085365853658,117.53448275862068,112.54166666666667,173.47027027027028,169.75888324873097,94.16666666666667,132.02258726899385,130.24461839530332
2020-10-01,,6.9,11596,12352,18.0,-4.5,61847,12.130681818181818,-0.08522727272727272,309.11,306.95,303.75,301.91,2089.1793103448276,656.2739272030651,702.4966814979606,39.41904761904762,39.38041237113402,39.385285285285285,60.51724137931034,64.3267211201867,64.2020316027088,360.7826086956522,471.8901515151515,462.98606271777004,250825.77210631166,217026.0053113513,218121.19328571318,43.3125,93.13157894736842,87.0,95.35,104.33876221498372,103.78899082568807,104.91666666666667,155.02710027100272,151.96692111959288,87.04166666666667,116.69183673469388,115.30739299610894
2020-11-01,,6.5,9439,,,,,,,311.65,310.63,305.82,305.53,2009.905172413793,589.5111111111112,635.3302743789395,39.339285714285715,39.896907216494846,39.82657657657658,60.62068965517241,63.75793184488837,63.654545454545456,337.7391304347826,423.56060606060606,416.6829268292683,254034.62906180398,218774.84998372517,219917.34561865733,37.6875,77.06194690265487,72.17829457364341,75.13636363636364,82.23333333333333,81.82460732984293,89.33333333333333,128.48108108108107,126.09644670050761,75.08333333333333,96.81466395112017,95.80194174757281
2020-12-01,,6.2,11019,,,,,,,314.09,314.64,307.87,309.58,1915.8103448275863,519.1689655172414,564.2219132369299,38.875,40.399484536082475,40.207207207207205,64.51724137931035,68.3744131455399,68.24744608399546,427.9130434782609,500.23018867924526,494.4548611111111,256430.10795381363,220066.4807172703,221244.7434992365,38.125,71.31858407079646,67.2015503875969,71.81818181818181,73.72375690607734,73.61458333333333,88.91666666666667,121.80160857908847,119.81360201511335,74.70833333333333,92.70672097759675,91.86796116504854
2021-01-01,,5.8,11074,13550,21.166666666666668,10.0,64000,14.831439393939394,16.553030303030305,316.96,318.54,310.8,313.28,1826.0086206896551,467.0216104868914,509.9058578164672,37.07,39.29342948717949,39.01316526610644,70.06896551724138,76.0324074074074,75.83874580067189,325.4782608695652,358.86037735849055,356.19444444444446,258245.6295948945,220688.45465357325,221905.39104832,50.25,86.070796460177,81.62790697674419,79.72727272727273,83.66849315068494,83.44444444444444,115.5,141.06933333333333,139.531328320802,93.75,106.37525354969574,105.78916827852998
2021-02-01,,5.5,9669,,,,,,,321.92,320.91,315.48,315.99,1544.5028735632184,418.02207257762814,453.53070652173915,34.609375,36.62900641025641,36.359722222222224,77.06896551724138,83.47497089639116,83.26576576576576,350.4782608695652,383.6716981132075,381.0208333333333,261245.6652804566,223029.01342788644,224267.31834824907,65.25,102.27433628318585,97.68217054263566,110.04545454545455,108.16164383561645,108.2687338501292,161.70833333333334,189.91733333333335,188.22055137844612,129.95833333333334,139.026369168357,138.605415860735
2021-03-01,,5.4,12762,,,,,,,330.28,327.36,322.72,320.6,1402.094827586207,425.6300037411148,456.40987318840575,35.53125,37.22327044025157,37.001366120218584,79.0,85.20092915214866,84.99887640449438,455.5217391304348,503.655303030303,499.7979094076655,265953.69463959837,226860.11226612065,228126.8316949819,78.5,107.929203539823,104.27906976744185,148.4090909090909,135.36263736263737,136.10621761658032,208.83333333333334,241.66754617414247,239.712158808933,169.16666666666666,171.32,171.22137404580153
2021-04-01,,5.2,12749,19200,22.0,161.5,89012,15.013257575757576,132.2159090909091,336.48,331.57,330.08,325.37,1343.1580459770116,440.2902169846614,468.7501811594203,38.046875,37.432098765432094,37.5114247311828,79.48275862068965,85.29566210045662,85.10939226519336,412.3478260869565,455.7245283018868,452.2604166666667,271897.85151039326,231531.34322047944,232839.30829356043,94.625,118.97345132743362,115.95348837209302,186.27272727272728,155.71195652173913,157.43589743589743,242.08333333333334,278.109375,275.9901960784314,198.625,195.0059405940594,195.17013232514176
2021-05-01,,5.0,12702,,,,,,,344.12,337.48,337.51,330.77,1363.448275862069,477.4567714178825,505.3847644927536,37.752941176470586,37.5530303030303,37.57979002624672,76.06896551724138,81.0783200908059,80.91868131868132,380.2608695652174,431.8905660377358,427.7673611111111,279701.37592627277,237825.24843353484,239182.12854223806,108.75,133.84821428571428,130.7109375,208.77272727272728,167.30913978494624,169.62436548223351,266.75,284.90180878552974,283.8418491484185,223.16666666666666,204.18235294117648,205.03558052434457
2021-06-01,,4.9,14372,,,,,,,351.39,344.79,344.04,336.76,1442.051724137931,531.2268310911809,559.9064422728918,36.89705882352941,37.842424242424244,37.715879265091864,73.93103448275862,75.68863636363636,75.63256325632564,395.69565217391306,450.3283018867925,445.96527777777777,288243.35289335495,243638.4713487256,245083.76918648457,126.41176470588235,161.41228070175438,156.87022900763358,225.9090909090909,182.40641711229947,184.82323232323233,284.7083333333333,277.5692695214106,277.9762470308789,242.83333333333334,208.98646034816247,210.48798521256933
2021-07-01,,4.7,13042,21273,25.5,95.33333333333333,99412,16.56439393939394,72.44696969696969,357.4,351.01,348.48,341.85,1564.048275862069,585.6908071748879,616.4968512486428,38.294117647058826,38.18909090909091,38.20314960629921,71.79310344827586,70.91770011273957,70.94541484716157,332.17391304347825,390.98490566037736,386.28819444444446,294090.94324044674,246763.6078006294,248297.11922828827,137.38888888888889,167.95726495726495,163.88148148148147,231.63636363636363,195.3244680851064,197.33165829145727,274.7083333333333,258.33827160493826,259.2540792540793,241.5,207.77692307692308,209.26470588235293
