month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202602,12009,"brevard, fl",379450,0.0133,-0.0053,3961,0.021,-0.0693,72,-0.0649,0.0827,1276,-0.078,-0.1039,86,-0.2833,0.303,0.013,-0.0057,0.0035,1526,0.0481,-0.211,0.2301,0.0047,-0.0437,1392,0.2968,0.0138,225,0.0014,-0.0424,1726,0.0061,0.0151,502796,0.0058,0.0075,5328,0.0801,-0.0506,0.3513,0.0747,0.0288,0
202602,12057,"hillsborough, fl",423200,-0.0042,-0.004,5828,0.0167,0.0532,77,-0.0863,0.137,2188,0.0684,-0.0561,76,0.1176,-0.1364,0.0074,-0.0002,-0.0013,2392,0.04,-0.0863,0.233,0.001,-0.0276,2233,0.368,0.0274,236,-0.0086,-0.0205,1792,-0.0024,0.0077,648467,0.0019,0.0122,8068,0.0959,0.047,0.3831,0.0984,-0.0096,0
202602,12035,"flagler, fl",424950,-0.0001,-0.0115,1377,0.0238,-0.0705,77,-0.1207,-0.0838,410,-0.033,-0.0682,28,-0.4167,-0.44,0.0126,-0.009,-0.0097,468,0.0446,-0.2403,0.2111,-0.0007,-0.0583,434,0.235,0.1545,225,-0.0006,-0.0385,1908,0.0016,0.0013,600590,-0.0099,0.0561,1796,0.0615,-0.0284,0.3148,0.0538,0.0614,0
202602,12045,"gulf, fl",627500,-0.0345,-0.0765,327,0.1474,0.1434,85,-0.1796,-0.1796,94,-0.0208,-0.0408,0,,,0,0,0,68,0.4167,0.4167,0.1536,0.0445,0.0427,47,-0.07,0.0449,348,-0.0402,-0.1275,1860,-0.0112,0.0237,882939,-0.0212,-0.095,372,0.1156,0.1275,0.1422,-0.0332,-0.0134,0
202602,12087,"monroe, fl",1299995,-0.037,0.0008,1474,0.0428,-0.0369,83,-0.0294,0.0784,288,-0.0526,-0.1429,6,-0.25,0,0.003,-0.0012,0.0001,406,0.1534,-0.1212,0.2037,0.0179,-0.0131,257,0.379,0.1739,878,-0.0222,-0.0314,1559,-0.0232,0.028,2551280,-0.0148,0.0629,1730,0.0877,-0.0086,0.1741,0.0424,0.0313,0
202602,12073,"leon, fl",329500,0.0138,0.0462,836,0.017,0.1382,54,-0.2246,0.1758,354,0.18,-0.0829,8,0,0,0.0052,-0.0006,-0.0003,212,0.0192,0.0928,0.1399,-0.0033,0.0026,343,0.3451,0.0769,202,0.0115,0.0081,1644,0.0137,0.0537,419585,0.0245,0.0852,1179,0.0942,0.1192,0.4103,0.1001,-0.0233,0
202602,12037,"franklin, fl",644975,-0.0146,-0.0584,307,0.0697,0.0033,108,0.0212,0.1896,58,0.1154,-0.1212,0,,-1,0,0,-0.015,50,0.25,-0.1071,0.1277,0.0163,-0.0073,25,0,-0.2063,389,-0.0163,-0.1144,1582,-0.0013,-0.0235,873374,-0.0435,-0.101,332,0.0641,-0.0119,0.0814,-0.0057,-0.0215,0
202602,12119,"sumter, fl",380375,0.028,0.0077,652,0.0316,-0.0625,58,-0.1979,-0.0128,246,-0.0821,-0.1151,4,,-0.6667,0.0036,0.0036,-0.0067,316,0.1449,-0.1771,0.2808,0.0285,-0.0398,225,0.3773,0.0298,247,-0.0076,-0.0114,1618,0.0312,0.012,482625,0.026,0.0407,887,0.1165,-0.0285,0.3443,0.0864,0.0309,0
202602,12027,"desoto, fl",364650,0.0059,-0.0861,123,-0.0465,-0.1717,82,0.0867,-0.133,42,0.5,0.3125,0,,-1,0,0,-0.0097,40,0.1111,-0.2857,0.2117,-0.0206,-0.0399,35,0.9167,0,222,-0.0074,-0.1181,1455,0.0094,0.0099,544800,0.0118,0.0966,157,0.068,-0.1397,0.2805,0.141,0.0482,0
202602,12123,"taylor, fl",298475,0.0567,0.0163,100,0.0474,0.4526,79,-0.1298,0.171,22,-0.3125,-0.1538,0,,,0,0,0,16,-0.2,0.1429,0.1151,-0.0504,-0.0099,18,0.8,0.6364,196,0.0518,0.0955,1682,0.0069,0.088,414337,0.0247,0.2214,117,0.1143,0.4904,0.1809,0.0756,0.0203,0
